date	close
16:13:43	21.937
16:18:23	21.937
16:18:23	21.937
16:18:24	21.937
16:18:25	21.937
16:18:26	21.937
16:18:27	21.937
16:18:27	21.937
16:18:28	21.937
16:18:29	21.937
16:18:30	21.937
16:18:31	21.937
16:18:32	21.937
16:18:32	21.937
16:18:33	21.937
16:18:34	21.937
16:18:35	21.937
16:18:36	21.937
16:18:36	21.937
16:18:37	21.937
16:18:38	21.937
16:18:39	21.937
16:18:40	22.0
16:18:41	21.937
16:18:41	22.0
16:18:42	22.0
16:18:43	22.0
16:18:44	22.0
16:18:45	22.0
16:18:45	22.0
16:18:46	22.0
16:18:47	22.0
16:18:48	22.0
16:18:49	22.0
16:18:50	22.0
16:18:50	22.0
16:18:51	22.0
16:18:52	22.0
16:18:53	22.0
16:18:54	22.0
16:18:55	22.0
16:18:55	22.0
16:18:56	22.0
16:18:57	22.0
16:18:58	22.0
16:18:59	22.0
16:18:59	22.0
16:19:00	22.0
16:19:01	22.0
16:19:02	22.0
16:19:03	22.0
16:19:04	22.0
16:19:04	22.0
16:19:05	22.0
16:19:06	22.0
16:19:07	22.0
16:19:08	22.0
16:19:08	22.0
16:19:09	22.0
16:19:10	22.0
16:19:11	22.0
16:19:12	22.0
16:19:13	22.0
16:19:13	22.0
16:19:14	22.0
16:19:15	22.0
16:19:16	22.0
16:19:17	22.0
16:19:17	22.0
16:19:18	22.0
16:19:19	22.0
16:19:20	22.0
16:19:21	22.0
16:19:22	22.0
16:19:22	22.0
16:19:23	22.0
16:19:24	22.0
16:19:25	22.0
16:19:26	22.0
16:19:27	22.0
16:19:27	22.0
16:19:28	22.0
16:19:29	22.0
16:19:30	22.0
16:19:31	22.0
16:19:31	22.0
16:19:32	22.0
16:19:33	22.0
16:19:34	22.0
16:19:35	22.0
16:19:36	22.0
16:19:36	22.0
16:19:37	22.0
16:19:38	22.0
16:19:39	22.0
16:19:40	22.0
16:19:40	22.0
16:19:41	22.0
16:19:42	22.0
16:19:43	22.0
16:19:44	22.0
16:19:45	22.0
16:19:45	22.0
16:19:46	22.062
16:19:48	22.437
16:19:49	23.312
16:19:50	24.062
16:19:51	24.625
16:19:53	25.562
16:19:54	25.937
16:19:54	26.25
16:19:55	26.5
16:19:56	26.687
16:19:57	26.875
16:19:58	27.0
16:19:59	27.125
16:19:59	27.187
16:20:00	27.25
16:20:01	27.312
16:20:02	27.437
16:20:03	27.5
16:20:03	27.562
16:20:04	27.625
16:20:05	27.625
16:20:06	27.625
16:20:07	27.687
16:20:08	27.75
16:20:08	27.75
16:20:09	27.812
16:20:10	27.812
16:20:11	27.812
16:20:12	27.75
16:20:12	27.75
16:20:13	27.75
16:20:14	27.75
16:20:15	27.687
16:20:16	27.687
16:20:17	27.687
16:20:17	27.687
16:20:18	27.625
16:20:19	27.625
16:20:20	27.625
16:20:21	27.562
16:20:21	27.562
16:20:22	27.562
16:20:23	27.5
